,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,chemsys,cluster
86,BaZrO3,Perovskite,2.38,5.41,5.5,1.79,3.0300000000000002,Ba1 Zr1 O3,mp-3834,3.0377,Ba-O-Zr,2
87,BaZrO3,Perovskite,1.36,4.23,4.57,1.64,2.87,Ba1 Zr1 O3,mp-3834,3.0377,Ba-O-Zr,2
89,CaAgO3,Perovskite,1.79,4.69,4.54,1.67,2.9000000000000004,Ca1 Ag1 O3,,,,2
90,CaAlO3,Perovskite,2.24,5.0,4.92,1.53,2.76,Ca1 Al1 O3,,,,2
91,CaAuO3,Perovskite,1.45,4.29,4.33,1.62,2.84,Ca1 Au1 O3,,,,2
96,CaGaO3,Perovskite,2.2,5.06,5.0,1.63,2.8599999999999994,Ca1 Ga1 O3,,,,2
97,CaGeO3,Perovskite,1.09,3.87,4.31,1.55,2.7800000000000002,Ca1 Ge1 O3,mp-8130,2.0286999999999997,Ca-Ge-O,2
98,CaHfO3,Perovskite,2.32,5.35,5.43,1.8,3.03,Ca1 Hf1 O3,mp-1016873,3.6612,Ca-Hf-O,2
112,CaScO3,Perovskite,2.0,4.96,4.84,1.74,2.96,Ca1 Sc1 O3,mp-1183534,0.0,Ca-O-Sc,2
113,CaSiO3,Perovskite,0.61,3.44,4.09,1.6,2.83,Ca1 Si1 O3,mp-1181886,3.6218000000000004,Ca-O-Si,2
114,CaSnO3,Perovskite,2.08,5.03,5.41,1.72,2.95,Ca1 Sn1 O3,mp-4190,2.9378999999999995,Ca-O-Sn,2
118,CaTiO3,Perovskite,2.78,5.66,5.74,1.65,2.8800000000000003,Ca1 Ti1 O3,mp-5827,1.8284999999999996,Ca-O-Ti,2
123,CaYO3,Perovskite,1.5,4.46,4.55,1.74,2.96,Ca1 Y1 O3,mp-1183544,0.0,Ca-O-Y,2
124,CaZrO3,Perovskite,2.4,5.44,5.47,1.81,3.0400000000000005,Ca1 Zr1 O3,mp-776024,3.4707,Ca-O-Zr,2
128,CdGeO3,Perovskite,1.45,4.08,4.75,1.65,2.63,Cd1 Ge1 O3,mp-7588,1.301,Cd-Ge-O,2
129,CdHfO3,Perovskite,2.48,5.5,5.51,1.79,3.02,Cd1 Hf1 O3,mp-1212404,2.3244,Cd-Hf-O,2
143,CdSnO3,Perovskite,1.98,4.92,5.2,1.74,2.94,Cd1 Sn1 O3,mp-849371,0.6903999999999999,Cd-O-Sn,2
147,CdTiO3,Perovskite,2.9,5.76,5.82,1.67,2.86,Cd1 Ti1 O3,mp-1179263,1.4505,Cd-O-Ti,2
151,CdZrO3,Perovskite,2.31,5.17,5.28,1.82,2.86,Cd1 Zr1 O3,mp-1016845,0.0,Cd-O-Zr,2
158,CeGaO3,Perovskite,2.4,4.81,5.34,1.67,2.4099999999999997,Ce1 Ga1 O3,mp-1019598,0.0,Ce-Ga-O,2
159,CeInO3,Perovskite,1.91,4.6,4.96,1.7,2.6899999999999995,Ce1 In1 O3,,,,2
161,CeMgO3,Perovskite,1.84,4.53,4.73,1.64,2.6900000000000004,Ce1 Mg1 O3,,,,2
173,CeScO3,Perovskite,1.97,4.77,4.8,1.76,2.8,Ce1 Sc1 O3,mp-777413,0.0,Ce-O-Sc,2
178,CeZnO3,Perovskite,2.02,4.78,4.88,1.62,2.7600000000000002,Ce1 Zn1 O3,,,,2
